,0
2023-01-15,876059.1266088656
2023-01-16,876059.1266088656
2023-01-17,876059.1266088656
2023-01-18,876059.1266088656
2023-01-19,876059.1266088656
2023-01-20,868027.8219726981
2023-01-21,868027.8219726981
2023-01-22,868027.8219726981
2023-01-23,868027.8219726981
2023-01-24,861292.9902208851
2023-01-25,861292.9902208851
2023-01-26,861292.9902208851
2023-01-27,861292.9902208851
2023-01-28,861292.9902208851
2023-01-29,861292.9902208851
2023-01-30,861292.9902208851
2023-01-31,861292.9902208851
2023-02-01,851583.5053255348
2023-02-02,851583.5053255348
2023-02-03,851583.5053255348
2023-02-04,851583.5053255348
2023-02-05,851583.5053255348
2023-02-06,851583.5053255348
2023-02-07,851583.5053255348
2023-02-08,851583.5053255348
2023-02-09,851583.5053255348
2023-02-10,851583.5053255348
2023-02-11,1000000.0
2023-02-12,1000000.0
2023-02-13,1000000.0
2023-02-14,991733.4965276173
2023-02-15,991733.4965276173
2023-02-16,985919.9349703218
2023-02-17,985919.9349703218
2023-02-18,985919.9349703218
2023-02-19,985919.9349703218
2023-02-20,969412.432937375
2023-02-21,969412.432937375
2023-02-22,969412.432937375
2023-02-23,969412.432937375
2023-02-24,969412.432937375
2023-02-25,969412.432937375
2023-02-26,969412.432937375
2023-02-27,969412.432937375
2023-02-28,960341.7509679586
2023-03-01,960341.7509679586
2023-03-02,960341.7509679586
2023-03-03,960341.7509679586
2023-03-04,960341.7509679586
2023-03-05,960341.7509679586
2023-03-06,960341.7509679586
2023-03-07,960341.7509679586
2023-03-08,960341.7509679586
2023-03-09,960341.7509679586
2023-03-10,960341.7509679586
2023-03-11,948575.1941261485
2023-03-12,948575.1941261485
2023-03-13,948575.1941261485
2023-03-14,933632.7421538157
2023-03-15,933632.7421538157
2023-03-16,933632.7421538157
2023-03-17,933632.7421538157
2023-03-18,933632.7421538157
2023-03-19,933632.7421538157
2023-03-20,933632.7421538157
2023-03-21,933632.7421538157
2023-03-22,933632.7421538157
2023-03-23,933632.7421538157
2023-03-24,933632.7421538157
2023-03-25,933632.7421538157
2023-03-26,933632.7421538157
2023-03-27,933632.7421538157
2023-03-28,933632.7421538157
2023-03-29,933632.7421538157
2023-03-30,933632.7421538157
2023-03-31,933632.7421538157
2023-04-01,933632.7421538157
2023-04-02,933632.7421538157
2023-04-03,933632.7421538157
2023-04-04,933632.7421538157
2023-04-05,933632.7421538157
2023-04-06,933632.7421538157
2023-04-07,933632.7421538157
2023-04-08,933632.7421538157
2023-04-09,933632.7421538157
2023-04-10,933632.7421538157
2023-04-11,926333.4932635801
2023-04-12,926333.4932635801
2023-04-13,926333.4932635801
2023-04-14,926333.4932635801
2023-04-15,920072.4107178666
2023-04-16,913256.1655462901
2023-04-17,907335.9306289026
2023-04-18,907335.9306289026
2023-04-19,907335.9306289026
2023-04-20,907335.9306289026
2023-04-21,907335.9306289026
2023-04-22,907335.9306289026
2023-04-23,907335.9306289026
2023-04-24,907335.9306289026
2023-04-25,907335.9306289026
2023-04-26,907335.9306289026
2023-04-27,907335.9306289026
2023-04-28,907335.9306289026
2023-04-29,907335.9306289026
2023-04-30,907335.9306289026
2023-05-01,907335.9306289026
2023-05-02,895413.9828484522
2023-05-03,895413.9828484522
2023-05-04,895413.9828484522
2023-05-05,886759.6374118397
2023-05-06,886759.6374118397
2023-05-07,886759.6374118397
2023-05-08,886759.6374118397
2023-05-09,886759.6374118397
2023-05-10,886759.6374118397
2023-05-11,886759.6374118397
2023-05-12,886759.6374118397
2023-05-13,886759.6374118397
2023-05-14,886759.6374118397
2023-05-15,886759.6374118397
2023-05-16,886759.6374118397
2023-05-17,886759.6374118397
2023-05-18,886759.6374118397
2023-05-19,886759.6374118397
2023-05-20,886759.6374118397
2023-05-21,886759.6374118397
2023-05-22,886759.6374118397
2023-05-23,886759.6374118397
2023-05-24,886759.6374118397
2023-05-25,886759.6374118397
2023-05-26,886759.6374118397
2023-05-27,886759.6374118397
2023-05-28,886759.6374118397
2023-05-29,886759.6374118397
2023-05-30,886759.6374118397
2023-05-31,886759.6374118397
2023-06-01,886759.6374118397
2023-06-02,886759.6374118397
2023-06-03,886759.6374118397
2023-06-04,886759.6374118397
2023-06-05,886759.6374118397
2023-06-06,872670.5277584342
2023-06-07,872670.5277584342
2023-06-08,872670.5277584342
2023-06-09,872670.5277584342
2023-06-10,872670.5277584342
2023-06-11,872670.5277584342
2023-06-12,872670.5277584342
2023-06-13,872670.5277584342
2023-06-14,872670.5277584342
2023-06-15,872670.5277584342
2023-06-16,864607.5518230345
2023-06-17,852944.8631783595
2023-06-18,852944.8631783595
2023-06-19,852944.8631783595
2023-06-20,852944.8631783595
2023-06-21,852944.8631783595
2023-06-22,852944.8631783595
2023-06-23,852944.8631783595
2023-06-24,852944.8631783595
2023-06-25,852944.8631783595
2023-06-26,852944.8631783595
2023-06-27,852944.8631783595
2023-06-28,852944.8631783595
2023-06-29,1000000.0
2023-06-30,1000000.0
2023-07-01,1000000.0
2023-07-02,1000000.0
2023-07-03,1000000.0
2023-07-04,1000000.0
2023-07-05,1000000.0
2023-07-06,1000000.0
2023-07-07,1000000.0
2023-07-08,1000000.0
2023-07-09,1000000.0
2023-07-10,1000000.0
2023-07-11,1000000.0
2023-07-12,1000000.0
2023-07-13,1000000.0
2023-07-14,1000000.0
2023-07-15,1000000.0
2023-07-16,1000000.0
2023-07-17,1000000.0
2023-07-18,1000000.0
2023-07-19,997149.3853208049
2023-07-20,997149.3853208049
2023-07-21,997149.3853208049
2023-07-22,990874.2813239412
2023-07-23,990874.2813239412
2023-07-24,990874.2813239412
2023-07-25,990874.2813239412
2023-07-26,990874.2813239412
2023-07-27,990874.2813239412
2023-07-28,990874.2813239412
2023-07-29,990874.2813239412
2023-07-30,990874.2813239412
2023-07-31,990874.2813239412
2023-08-01,990874.2813239412
2023-08-02,990874.2813239412
2023-08-03,982310.0941325021
2023-08-04,982310.0941325021
2023-08-05,982310.0941325021
2023-08-06,982310.0941325021
2023-08-07,970823.0935212604
2023-08-08,970823.0935212604
2023-08-09,957330.8987427129
2023-08-10,946601.834808134
2023-08-11,941614.3964334958
2023-08-12,941614.3964334958
2023-08-13,941614.3964334958
2023-08-14,934419.2681586747
2023-08-15,934419.2681586747
2023-08-16,926924.3536966359
2023-08-17,919677.2373023969
2023-08-18,919677.2373023969
2023-08-19,919677.2373023969
2023-08-20,919677.2373023969
2023-08-21,919677.2373023969
2023-08-22,919677.2373023969
2023-08-23,919677.2373023969
2023-08-24,912771.8203869305
2023-08-25,912771.8203869305
2023-08-26,912771.8203869305
2023-08-27,912771.8203869305
2023-08-28,902529.3720249799
2023-08-29,902529.3720249799
2023-08-30,902529.3720249799
2023-08-31,902529.3720249799
2023-09-01,902529.3720249799
2023-09-02,902529.3720249799
2023-09-03,902529.3720249799
2023-09-04,902529.3720249799
2023-09-05,902529.3720249799
2023-09-06,902529.3720249799
2023-09-07,902529.3720249799
2023-09-08,902529.3720249799
2023-09-09,902529.3720249799
2023-09-10,902529.3720249799
2023-09-11,902529.3720249799
2023-09-12,902529.3720249799
2023-09-13,902529.3720249799
2023-09-14,902529.3720249799
2023-09-15,902529.3720249799
2023-09-16,902529.3720249799
2023-09-17,891947.8074380519
2023-09-18,891947.8074380519
2023-09-19,891947.8074380519
2023-09-20,885897.4635076339
2023-09-21,885897.4635076339
2023-09-22,885897.4635076339
2023-09-23,885897.4635076339
2023-09-24,885897.4635076339
2023-09-25,885897.4635076339
2023-09-26,885897.4635076339
2023-09-27,880039.3414751971
2023-09-28,880039.3414751971
2023-09-29,880039.3414751971
2023-09-30,880039.3414751971
2023-10-01,880039.3414751971
2023-10-02,880039.3414751971
2023-10-03,874054.1279928923
2023-10-04,874054.1279928923
2023-10-05,866861.1747118263
2023-10-06,866861.1747118263
2023-10-07,866861.1747118263
2023-10-08,866861.1747118263
2023-10-09,866861.1747118263
2023-10-10,866861.1747118263
2023-10-11,866861.1747118263
2023-10-12,857836.7481979801
2023-10-13,857836.7481979801
2023-10-14,857089.7225952132
2023-10-15,857089.7225952132
2023-10-16,857089.7225952132
2023-10-17,857089.7225952132
2023-10-18,857089.7225952132
2023-10-19,857089.7225952132
2023-10-20,857089.7225952132
2023-10-21,857089.7225952132
2023-10-22,857089.7225952132
2023-10-23,857089.7225952132
2023-10-24,857089.7225952132
2023-10-25,857089.7225952132
2023-10-26,857089.7225952132
2023-10-27,857089.7225952132
2023-10-28,857089.7225952132
2023-10-29,857089.7225952132
2023-10-30,857089.7225952132
2023-10-31,857089.7225952132
2023-11-01,857089.7225952132
2023-11-02,852584.5418409879
2023-11-03,852584.5418409879
2023-11-04,852584.5418409879
2023-11-05,852584.5418409879
2023-11-06,852584.5418409879
2023-11-07,1000000.0
2023-11-08,1000000.0
2023-11-09,992104.131319764
2023-11-10,992104.131319764
2023-11-11,992104.131319764
2023-11-12,992104.131319764
2023-11-13,992104.131319764
2023-11-14,992104.131319764
2023-11-15,992104.131319764
2023-11-16,985087.058954785
2023-11-17,985087.058954785
2023-11-18,985087.058954785
2023-11-19,985087.058954785
2023-11-20,985087.058954785
2023-11-21,985087.058954785
2023-11-22,985087.058954785
2023-11-23,985087.058954785
2023-11-24,981558.133714803
2023-11-25,981558.133714803
2023-11-26,981558.133714803
2023-11-27,981558.133714803
2023-11-28,981558.133714803
2023-11-29,981558.133714803
2023-11-30,981558.133714803
